ward,gender,age,education,monthly_income,household_size,family_head,value_chain,vc_experience,project_skepticism,adequate_consultation,project_acceptance,satisfactory_training,project_success_optimism,project_benefits,sustainable_skills,sustainable_technology,project_understanding,vc_understanding,vc_agriculture_practices_awareness,vc_technology_awareness,vc_product_marketing_understanding,practice_mixed_farming,practice_large_scale_farming,use_extension_services,use_credit_farming,full_time_farming,acreage_before,acreage_after,acreage_change,yield_before,yield_after,yield_change,price_before,price_after,price_change,annual_income_before,annual_income_after,annual_income_change,jobs_created_before,jobs_created_after,jobs_created_change,trained_certified_seed,adopted_certified_seed,trained_improved_varieties,adopted_improved_varieties,trained_pest_management,adopted_pest_management,trained_agronomic_practices,adopted_agronomic_practices,trained_soil_fertility,adopted_soil_fertility,trained_soil_moisture,adopted_soil_moisture,trained_post_harvest,adopted_post_harvest,trained_value_addition,adopted_value_addition,enterprise_profitability_increase,farm_productivity_increase,timely_implementation,new_income_streams,job_creation_increase,project_inclusivity
Thange,Male,70.0,Primary,500,5.0,Yes,Green gram,25,4,4,4,4,4,4,4,4,4,5,4,3,4,4,2,4,4,5,1.0,3.0,2.0,90.0,135.0,45.0,50.0,100.0,50.0,4500.0,27000.0,22500.0,1.0,5.0,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,4,4,4,4
Thange,Female,60.0,Primary,1000,5.0,No,Green gram,3,4,4,4,4,4,4,4,3,5,5,4,4,4,4,4,4,4,5,5.0,2.0,-3.0,40.0,360.0,320.0,30.0,100.0,70.0,24000.0,72000.0,48000.0,6.0,2.0,-4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,5,4,5,4,4
Thange,Male,63.0,Secondary,3000,1.0,Yes,Green gram,20,4,4,4,4,4,4,4,3,2,4,4,3,4,4,2,4,4,4,2.0,1.0,-1.0,40.0,180.0,140.0,30.0,100.0,70.0,2400.0,18000.0,15600.0,2.0,2.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,5,4,4,4,4
Thange,Male,70.0,Secondary,12000,4.0,Yes,Green gram,7,4,4,4,4,4,4,4,4,4,4,4,3,4,4,2,3,3,5,1.0,4.0,3.0,50.0,400.0,350.0,0.0,120.0,120.0,0.0,180000.0,180000.0,1.0,2.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,5,4,4,4,4
Thange,Female,43.0,Secondary,1000,3.0,Yes,Green gram,5,4,4,3,4,3,5,3,3,3,5,4,3,4,4,2,3,3,4,0.0,2.0,2.0,0.0,70.0,70.0,0.0,80.0,80.0,0.0,11200.0,11200.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,5,3,4,4,5
Thange,Male,54.0,Primary,500,2.0,Yes,Green gram,18,4,4,4,4,4,4,4,3,4,4,4,3,4,4,2,4,4,5,3.0,1.0,-2.0,100.0,200.0,100.0,50.0,120.0,70.0,15000.0,24000.0,9000.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,4,4,4,4
Thange,Female,53.0,Primary,15000,2.0,Yes,Green gram,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,2,4,4,5,1.0,2.0,1.0,100.0,300.0,200.0,80.0,150.0,70.0,8000.0,48000.0,40000.0,6.0,3.0,-3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,4
Thange,Female,54.0,Primary,1000,1.0,Yes,Green gram,3,4,4,4,4,4,5,4,5,3,4,4,4,4,4,2,4,4,5,1.0,3.0,2.0,100.0,300.0,200.0,30.0,100.0,70.0,3000.0,90000.0,87000.0,3.0,5.0,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,5,4,4,4
Thange,Male,54.0,Primary,10000,4.0,Yes,Green gram,3,4,4,4,4,4,5,4,4,4,4,4,4,4,4,2,4,4,5,1.0,2.0,1.0,70.0,400.0,330.0,40.0,120.0,80.0,2000.0,80000.0,78000.0,3.0,4.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,5,4,4,5
Thange,Female,38.0,Primary,10000,2.0,Yes,Green gram,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,1.0,3.0,2.0,100.0,200.0,100.0,100.0,150.0,50.0,9000.0,60000.0,51000.0,2.0,6.0,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,5
