ward,gender,age,education,monthly_income,household_size,family_head,value_chain,vc_experience,project_skepticism,adequate_consultation,project_acceptance,satisfactory_training,project_success_optimism,project_benefits,sustainable_skills,sustainable_technology,project_understanding,vc_understanding,vc_agriculture_practices_awareness,vc_technology_awareness,vc_product_marketing_understanding,practice_mixed_farming,practice_large_scale_farming,use_extension_services,use_credit_farming,full_time_farming,trees_per_acre_before,trees_per_acre_after,trees_per_acre_change,total_trees_before,total_trees_after,total_trees_change,production_per_tree_before,production_per_tree_after,production_per_tree_change,price_before,price_after,price_change,annual_income_before,annual_income_after,annual_income_change,jobs_created_before,jobs_created_after,jobs_created_change,trained_certified_seed,trained_improved_varieties,trained_pest_management,trained_agronomic_practices,trained_soil_fertility,trained_soil_moisture,adopted_soil_moisture,trained_post_harvest,trained_value_addition,adopted_value_addition,enterprise_profitability_increase,farm_productivity_increase,timely_implementation,new_income_streams,job_creation_increase,project_inclusivity
Thange,Male,57.0,Primary,1000,4.0,Yes,Mango,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,1.0,27.0,26.0,1.0,27.0,26.0,900.0,1000.0,100.0,20.0,50.0,30.0,3600.0,10000.0,6400.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,5,5,2,3,4,4
Thange,Female,49.0,Primary,500,4.0,Yes,Mango,27,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,6.0,51.0,45.0,6.0,25.0,19.0,90.0,60.0,-30.0,10.0,50.0,40.0,450.0,3000.0,2550.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,3,4,4,4
Thange,Female,67.0,Primary,500,3.0,Yes,Mango,43,4,4,4,4,4,4,4,3,5,4,4,3,4,4,4,4,4,5,9.0,34.0,25.0,9.0,34.0,25.0,900.0,4500.0,3600.0,30.0,50.0,20.0,5400.0,45000.0,39600.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,4,5,4,4,3
Thange,Female,43.0,Primary,1000,5.0,Yes,Mango,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,1,4,4,4,0.0,3.0,3.0,0.0,3.0,3.0,0.0,200.0,200.0,0.0,50.0,50.0,0.0,2000.0,2000.0,0.0,1.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3,4,4,4,4,4
Thange,Female,51.0,Secondary,2000,1.0,No,Mango,8,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,20.0,46.0,26.0,20.0,46.0,26.0,1800.0,9000.0,7200.0,15.0,50.0,35.0,5600.0,15000.0,9400.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,4,4,4,4
Thange,Male,74.0,Secondary,0,3.0,Yes,Mango,10,4,4,4,4,4,5,4,4,4,4,5,4,4,5,5,4,4,5,50.0,60.0,10.0,50.0,60.0,10.0,50.0,70.0,20.0,20.0,0.0,-20.0,4000.0,0.0,-4000.0,3.0,2.0,-1.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,3
Thange,Male,70.0,Secondary,1000,3.0,Yes,Mango,6,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4,4,5,130.0,100.0,-30.0,130.0,100.0,-30.0,60.0,20.0,-40.0,35.0,3500.0,3465.0,12000.0,0.0,-12000.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,4,3,5,4,4,5
Thange,Female,55.0,Secondary,1000,3.0,No,Mango,5,4,4,4,4,4,4,4,4,5,5,4,5,4,4,2,4,4,5,0.0,7.0,7.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3,3,4,3,4,4
Thange,Male,68.0,Secondary,500,3.0,Yes,Mango,8,4,3,4,5,5,5,3,3,5,4,4,4,2,4,2,4,4,4,6.0,30.0,24.0,6.0,38.0,32.0,0.0,60.0,60.0,0.0,50.0,50.0,0.0,18000.0,18000.0,1.0,2.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,5,4,4,4,5
Thange,Male,70.0,Secondary,5000,3.0,Yes,Mango,25,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,5,5.0,12.0,7.0,5.0,12.0,7.0,0.0,400.0,400.0,0.0,50.0,50.0,0.0,8000.0,8000.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,4,5,4,4,4,4
Thange,Male,50.0,Secondary,10000,5.0,Yes,Mango,17,4,3,3,3,4,4,3,4,4,4,4,4,4,2,5,3,4,4,70.0,70.0,0.0,70.0,70.0,0.0,300.0,300.0,0.0,40.0,40.0,0.0,500000.0,500000.0,0.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3,3,4,3,3,1
Thange,Female,56.0,Secondary,500,5.0,No,Mango,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4.0,20.0,16.0,4.0,420.0,416.0,200.0,450.0,250.0,20.0,60.0,40.0,10000.0,15000.0,5000.0,1.0,2.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,4
Thange,Female,77.0,Primary,0,4.0,No,Mango,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,7.0,15.0,8.0,7.0,15.0,8.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3,3,4,4,4,4
Thange,Female,42.0,Primary,500,4.0,No,Mango,3,4,4,4,4,4,4,4,4,2,4,4,4,4,4,2,4,3,5,10.0,0.0,-10.0,10.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3,3,4,3,3,4
Tulimani,Male,66.0,Primary,1000,3.0,Yes,Mango,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,10.0,250.0,240.0,10.0,250.0,240.0,50.0,500.0,450.0,3.0,20.0,17.0,300.0,500000.0,499700.0,1.0,3.0,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
Tulimani,Female,67.0,Secondary,5000,3.0,Yes,Mango,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5.0,100.0,95.0,5.0,100.0,95.0,100.0,500.0,400.0,5.0,20.0,15.0,500.0,200000.0,199500.0,1.0,2.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
Tulimani,Male,55.0,Secondary,4000,3.0,Yes,Mango,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,2.0,30.0,28.0,2.0,30.0,28.0,20.0,250.0,230.0,120.0,15.0,-105.0,120.0,37500.0,37380.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
Tulimani,Female,58.0,Primary,200,2.0,Yes,Mango,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,10.0,40.0,30.0,10.0,40.0,30.0,300.0,500.0,200.0,6000.0,20.0,-5980.0,6000.0,80000.0,74000.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,4,5,5,5
Tulimani,Female,54.0,Primary,5000,5.0,No,Mango,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2.0,10.0,8.0,2.0,10.0,8.0,50.0,500.0,450.0,5.0,25.0,20.0,100.0,25000.0,24900.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
Tulimani,Female,52.0,Secondary,6000,5.0,No,Mango,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,10.0,52.0,42.0,10.0,52.0,42.0,100.0,300.0,200.0,5.0,20.0,15.0,1000.0,104000.0,103000.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
Tulimani,Female,77.0,Primary,5000,4.0,Yes,Mango,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,30.0,30.0,0.0,30.0,30.0,0.0,100.0,20.0,-80.0,5.0,20.0,15.0,6000.0,40000.0,34000.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
Tulimani,Female,60.0,Degree,20000,3.0,No,Mango,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,120.0,170.0,50.0,120.0,170.0,50.0,200.0,500.0,300.0,5.0,20.0,15.0,22.0,55.0,33.0,2.0,2.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
Tulimani,Female,68.0,Primary,2000,4.0,No,Mango,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10.0,30.0,20.0,10.0,30.0,20.0,100.0,500.0,400.0,5.0,20.0,15.0,1000.0,10000.0,9000.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
Tulimani,Female,64.0,Primary,4000,5.0,Yes,Mango,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,20.0,30.0,10.0,20.0,30.0,10.0,300.0,500.0,200.0,5.0,20.0,15.0,6000.0,100000.0,94000.0,1.0,2.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
Mtito Andei,Female,35.0,Primary,3000,3.0,Yes,Mango,4,2,4,4,4,4,4,4,4,5,4,5,4,4,5,2,5,2,5,6.0,35.0,29.0,6.0,35.0,29.0,50.0,90.0,40.0,20.0,20.0,0.0,1000.0,2500.0,1500.0,0.0,1.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,4
Mtito Andei,Female,68.0,Primary,6000,4.0,Yes,Mango,4,3,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,2,4,6.0,35.0,29.0,6.0,35.0,29.0,70.0,100.0,30.0,15.0,20.0,5.0,3500.0,7000.0,3500.0,0.0,0.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,4
Mtito Andei,Female,40.0,Secondary,8000,3.0,No,Mango,5,2,5,5,5,5,5,4,4,5,4,4,4,4,4,2,4,2,4,8.0,64.0,56.0,8.0,64.0,56.0,50.0,120.0,70.0,10.0,20.0,10.0,1500.0,3800.0,2300.0,0.0,1.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,4
Mtito Andei,Male,39.0,Secondary,10000,4.0,Yes,Mango,6,3,5,4,5,5,5,4,4,4,4,4,4,4,4,2,4,2,4,0.0,50.0,50.0,0.0,50.0,50.0,0.0,30.0,30.0,10.0,20.0,10.0,0.0,3000.0,3000.0,0.0,1.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,4,4,4,4,4,4
Mtito Andei,Male,48.0,Secondary,15000,4.0,Yes,Mango,6,2,4,5,5,5,5,4,4,5,4,4,4,4,4,2,4,2,3,0.0,40.0,40.0,0.0,40.0,40.0,0.0,70.0,70.0,10.0,20.0,10.0,0.0,4600.0,4600.0,0.0,1.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,4,4,4,4,4,4
Mtito Andei,Male,46.0,Secondary,15000,4.0,Yes,Mango,12,3,4,4,5,5,5,4,4,4,4,4,4,4,4,2,4,2,3,5.0,57.0,52.0,5.0,57.0,52.0,50.0,80.0,30.0,10.0,20.0,10.0,800.0,4500.0,3700.0,0.0,1.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,4,4,4,4,4,4
Waia/Kako,Female,37.0,Secondary,30000,4.0,Yes,Mango,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,2.0,20.0,18.0,2.0,50.0,48.0,15.0,100.0,85.0,12.0,30.0,18.0,1000.0,20000.0,19000.0,0.0,1.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,4
Waia/Kako,Female,60.0,Secondary,32000,4.0,Yes,Mango,4,4,4,3,4,4,4,4,4,4,4,4,5,4,5,2,4,4,4,3.0,20.0,17.0,3.0,50.0,47.0,20.0,100.0,80.0,15.0,30.0,15.0,1000.0,25000.0,24000.0,0.0,1.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,4
Waia/Kako,Female,50.0,Primary,28000,4.0,Yes,Mango,4,5,4,4,5,4,4,5,4,4,5,4,4,4,4,2,4,4,2,20.0,40.0,20.0,25.0,75.0,50.0,100.0,200.0,100.0,20.0,30.0,10.0,15000.0,30000.0,15000.0,0.0,1.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,5,5,4
Waia/Kako,Female,42.0,Secondary,35000,3.0,Yes,Mango,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,5.0,10.0,5.0,5.0,20.0,15.0,20.0,70.0,50.0,10.0,20.0,10.0,1500.0,15000.0,13500.0,0.0,1.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,4
Waia/Kako,Female,67.0,Secondary,40000,4.0,Yes,Mango,4,5,4,4,5,5,5,5,5,4,5,5,5,4,5,5,4,5,2,20.0,45.0,25.0,20.0,95.0,75.0,100.0,270.0,170.0,20.0,35.0,15.0,10000.0,25000.0,15000.0,0.0,1.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,4,4,4,4
Waia/Kako,Female,55.0,Secondary,27000,4.0,Yes,Mango,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,5.0,38.0,33.0,5.0,38.0,33.0,50.0,200.0,150.0,20.0,30.0,10.0,2000.0,10000.0,8000.0,0.0,1.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
Waia/Kako,Male,40.0,Certificate,40000,4.0,Yes,Mango,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,2,4,4,2,10.0,40.0,30.0,10.0,40.0,30.0,90.0,150.0,60.0,20.0,30.0,10.0,3000.0,15000.0,12000.0,0.0,1.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,4
Waia/Kako,Male,37.0,Secondary,30000,4.0,Yes,Mango,4,5,4,4,5,5,5,5,5,5,4,5,5,5,5,2,4,4,2,40.0,45.0,5.0,50.0,100.0,50.0,100.0,250.0,150.0,20.0,30.0,10.0,20000.0,40000.0,20000.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,4,4,4,4,4
Waia/Kako,Male,52.0,Secondary,35000,3.0,Yes,Mango,4,4,5,5,5,4,4,4,5,5,5,5,5,5,4,2,4,4,2,5.0,20.0,15.0,5.0,20.0,15.0,50.0,150.0,100.0,20.0,30.0,10.0,2000.0,8000.0,6000.0,0.0,1.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,4,4,4,4,4
