ward,gender,age,education,monthly_income,household_size,family_head,value_chain,vc_experience,project_skepticism,adequate_consultation,project_acceptance,satisfactory_training,project_success_optimism,project_benefits,sustainable_skills,sustainable_technology,project_understanding,vc_understanding,vc_agriculture_practices_awareness,vc_technology_awareness,vc_product_marketing_understanding,practice_mixed_farming,practice_large_scale_farming,use_extension_services,use_credit_farming,full_time_farming,acreage_before,acreage_after,acreage_change,yield_before,yield_after,yield_change,price_before,price_after,price_change,annual_income_before,annual_income_after,annual_income_change,jobs_created_before,jobs_created_after,jobs_created_change,trained_certified_seed,adopted_certified_seed,trained_improved_varieties,adopted_improved_varieties,trained_pest_management,adopted_pest_management,trained_agronomic_practices,adopted_agronomic_practices,trained_soil_fertility,adopted_soil_fertility,trained_soil_moisture,adopted_soil_moisture,trained_post_harvest,adopted_post_harvest,trained_value_addition,adopted_value_addition,trees_per_acre_before,trees_per_acre_after,trees_per_acre_change,total_trees_before,total_trees_after,total_trees_change,production_per_tree_before,production_per_tree_after,production_per_tree_change,average_flock_size_before,average_flock_size_after,average_flock_size_change,annual_production_cycles_before,annual_production_cycles_after,annual_production_cycles_change,trained_poultry_housing,adopted_poultry_housing,trained_feeds_production,adopted_feeds_production,trained_feeds_management,adopted_feeds_management,trained_hatchery_management,adopted_hatchery_management,trained_vaccination,adopted_vaccination,trained_hygiene_management,adopted_hygiene_management,enterprise_profitability_increase,farm_productivity_increase,timely_implementation,new_income_streams,job_creation_increase,project_inclusivity
Tulimani,Male,64.0,Secondary,30000,3.0,Yes,Tomato,40,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,1.0,2.0,1.0,800.0,2000.0,1200.0,10.0,30.0,20.0,8000.0,60000.0,52000.0,2.0,5.0,3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,4,5,5,5
Tulimani,Male,67.0,Secondary,20000,4.0,Yes,Tomato,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,1.0,1.0,0.0,160.0,250.0,90.0,40.0,50.0,10.0,30000.0,7000.0,-23000.0,3.0,2.0,-1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5
Tulimani,Female,33.0,Primary,5000,3.0,No,Tomato,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,1.0,2.0,1.0,30.0,80.0,50.0,10.0,25.0,15.0,300.0,1740.0,1440.0,1.0,2.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5
Tulimani,Male,71.0,Secondary,10000,5.0,Yes,Tomato,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1.0,1.0,0.0,250.0,400.0,150.0,10.0,20.0,10.0,2500.0,8000.0,5500.0,2.0,2.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5
Tulimani,Female,63.0,Secondary,1000,1.0,No,Tomato,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,2,5,1.0,1.0,0.0,36.0,144.0,108.0,20.0,30.0,10.0,720.0,4320.0,3600.0,1.0,2.0,1.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,3,5,5,5
Tulimani,Male,70.0,Primary,500,5.0,Yes,Tomato,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1.0,1.0,0.0,200.0,800.0,600.0,15.0,25.0,10.0,6000.0,40000.0,34000.0,1.0,2.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5
Thange,Female,49.0,Secondary,2000,4.0,Yes,Tomato,1,4,4,4,4,4,5,3,4,4,4,4,4,4,5,2,4,3,4,0.0,1.0,1.0,0.0,1000.0,1000.0,0.0,30.0,30.0,0.0,30000.0,30000.0,0.0,5.0,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4
Thange,Female,43.0,Certificate,5000,3.0,No,Tomato,5,4,4,4,4,4,4,4,3,4,5,4,4,4,4,2,4,4,2,1.0,2.0,1.0,1200.0,1500.0,300.0,30.0,50.0,20.0,36000.0,50000.0,14000.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,4,4,4,4
Thange,Female,39.0,Primary,10000,5.0,Yes,Tomato,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,0.0,1.0,1.0,0.0,1000.0,1000.0,0.0,30.0,30.0,0.0,30000.0,30000.0,0.0,5.0,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,2,4,4,4
Thange,Female,49.0,Primary,1000,5.0,Yes,Tomato,15,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,5,1.0,2.0,1.0,120.0,1000.0,880.0,20.0,40.0,20.0,2000.0,30000.0,28000.0,1.0,5.0,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,4,4,4,4
