ward,gender,age,education,monthly_income,household_size,family_head,value_chain,vc_experience,project_skepticism,adequate_consultation,project_acceptance,satisfactory_training,project_success_optimism,project_benefits,sustainable_skills,sustainable_technology,project_understanding,vc_understanding,vc_agriculture_practices_awareness,vc_technology_awareness,vc_product_marketing_understanding,practice_mixed_farming,practice_large_scale_farming,use_extension_services,use_credit_farming,full_time_farming,acreage_before,acreage_after,acreage_change,yield_before,yield_after,yield_change,price_before,price_after,price_change,annual_income_before,annual_income_after,annual_income_change,jobs_created_before,jobs_created_after,jobs_created_change,trained_certified_seed,adopted_certified_seed,trained_improved_varieties,adopted_improved_varieties,trained_pest_management,adopted_pest_management,trained_agronomic_practices,adopted_agronomic_practices,trained_soil_fertility,adopted_soil_fertility,trained_soil_moisture,adopted_soil_moisture,trained_post_harvest,adopted_post_harvest,trained_value_addition,adopted_value_addition,enterprise_profitability_increase,farm_productivity_increase,timely_implementation,new_income_streams,job_creation_increase,project_inclusivity
Thange,Female,60,Primary,1000,6,No,Green gram,5,4,4,4,4,4,4,4,4,5,5,4,4,5,4,1,4,4,5,0,2,2,0,270,270,0,100,100,0,54000,54000,0,7,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,4,4,5,4
Thange,Male,70,Primary,500,5,Yes,Green gram,25,4,4,4,4,4,4,4,4,4,5,4,3,4,4,2,4,4,5,1,3,2,90,135,45,50,100,50,4500,27000,22500,1,5,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,4,4,4,4
Thange,Female,60,Primary,1000,5,No,Green gram,3,4,4,4,4,4,4,4,3,5,5,4,4,4,4,4,4,4,5,5,2,-3,40,360,320,30,100,70,24000,72000,48000,6,2,-4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,5,4,5,4,4
Thange,Male,63,Secondary,3000,1,Yes,Green gram,20,4,4,4,4,4,4,4,3,2,4,4,3,4,4,2,4,4,4,2,1,-1,40,180,140,30,100,70,2400,18000,15600,2,2,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,5,4,4,4,4
Thange,Male,70,Secondary,12000,4,Yes,Green gram,7,4,4,4,4,4,4,4,4,4,4,4,3,4,4,2,3,3,5,1,4,3,50,400,350,0,120,120,0,180000,180000,1,2,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,5,4,4,4,4
Thange,Female,43,Secondary,1000,3,Yes,Green gram,5,4,4,3,4,3,5,3,3,3,5,4,3,4,4,2,3,3,4,0,2,2,0,70,70,0,80,80,0,11200,11200,1,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,5,3,4,4,5
Thange,Male,54,Primary,500,2,Yes,Green gram,18,4,4,4,4,4,4,4,3,4,4,4,3,4,4,2,4,4,5,3,1,-2,100,200,100,50,120,70,15000,24000,9000,1,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,4,4,4,4
Thange,Female,53,Primary,15000,2,Yes,Green gram,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,2,4,4,5,1,2,1,100,300,200,80,150,70,8000,48000,40000,6,3,-3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,4
Thange,Female,54,Primary,1000,1,Yes,Green gram,3,4,4,4,4,4,5,4,5,3,4,4,4,4,4,2,4,4,5,1,3,2,100,300,200,30,100,70,3000,90000,87000,3,5,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,5,4,4,4
Thange,Female,50,Primary,2000,6,No,Green gram,18,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,5,3,1,-2,50,360,310,20,100,80,3000,30000,27000,2,2,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,5,4,5,5,4
