ward,gender,age,education,monthly_income,household_size,family_head,value_chain,vc_experience,project_skepticism,adequate_consultation,project_acceptance,satisfactory_training,project_success_optimism,project_benefits,sustainable_skills,sustainable_technology,project_understanding,vc_understanding,vc_agriculture_practices_awareness,vc_technology_awareness,vc_product_marketing_understanding,practice_mixed_farming,practice_large_scale_farming,use_extension_services,use_credit_farming,full_time_farming,trees_per_acre_before,trees_per_acre_after,trees_per_acre_change,total_trees_before,total_trees_after,total_trees_change,production_per_tree_before,production_per_tree_after,production_per_tree_change,price_before,price_after,price_change,annual_income_before,annual_income_after,annual_income_change,jobs_created_before,jobs_created_after,jobs_created_change,trained_certified_seed,trained_improved_varieties,trained_pest_management,trained_agronomic_practices,trained_soil_fertility,trained_soil_moisture,adopted_soil_moisture,trained_post_harvest,trained_value_addition,adopted_value_addition,enterprise_profitability_increase,farm_productivity_increase,timely_implementation,new_income_streams,job_creation_increase,project_inclusivity
Thange,Male,57,Primary,1000,4,Yes,Mango,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,1,27,26,1,27,26,900,1000,100,20,50,30,3600,10000,6400,1,1,0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,5,5,2,3,4,4
Thange,Female,49,Primary,500,4,Yes,Mango,27,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,6,51,45,6,25,19,90,60,-30,10,50,40,450,3000,2550,1,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,3,4,4,4
Thange,Female,67,Primary,500,3,Yes,Mango,43,4,4,4,4,4,4,4,3,5,4,4,3,4,4,4,4,4,5,9,34,25,9,34,25,900,4500,3600,30,50,20,5400,45000,39600,1,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,4,5,4,4,3
Thange,Female,54,Primary,200,6,Yes,Mango,4,4,4,4,4,4,5,4,4,4,4,5,3,4,5,1,4,3,5,0,4,4,0,4,4,0,500,500,0,100,100,0,30000,30000,0,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,5,4,5,5,5
Thange,Female,43,Primary,1000,5,Yes,Mango,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,1,4,4,4,0,3,3,0,3,3,0,200,200,0,50,50,0,2000,2000,0,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3,4,4,4,4,4
Thange,Female,51,Secondary,2000,1,No,Mango,8,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,20,46,26,20,46,26,1800,9000,7200,15,50,35,5600,15000,9400,1,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,4,4,4,4
Thange,Male,74,Secondary,0,3,Yes,Mango,10,4,4,4,4,4,5,4,4,4,4,5,4,4,5,5,4,4,5,50,60,10,50,60,10,50,70,20,20,0,-20,4000,0,-4000,3,2,-1,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,3
Thange,Male,70,Secondary,1000,3,Yes,Mango,6,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4,4,5,130,100,-30,130,100,-30,60,20,-40,35,3500,3465,12000,0,-12000,1,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,4,3,5,4,4,5
Thange,Female,55,Secondary,1000,3,No,Mango,5,4,4,4,4,4,4,4,4,5,5,4,5,4,4,2,4,4,5,0,7,7,0,7,7,0,0,0,0,0,0,0,0,0,1,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3,3,4,3,4,4
Thange,Male,68,Secondary,500,3,Yes,Mango,8,4,3,4,5,5,5,3,3,5,4,4,4,2,4,2,4,4,4,6,30,24,6,38,32,0,60,60,0,50,50,0,18000,18000,1,2,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,5,4,4,4,5
