ward,gender,age,education,monthly_income,household_size,family_head,value_chain,vc_experience,project_skepticism,adequate_consultation,project_acceptance,satisfactory_training,project_success_optimism,project_benefits,sustainable_skills,sustainable_technology,project_understanding,vc_understanding,vc_agriculture_practices_awareness,vc_technology_awareness,vc_product_marketing_understanding,practice_mixed_farming,practice_large_scale_farming,use_extension_services,use_credit_farming,full_time_farming,acreage_before,acreage_after,acreage_change,yield_before,yield_after,yield_change,price_before,price_after,price_change,annual_income_before,annual_income_after,annual_income_change,jobs_created_before,jobs_created_after,jobs_created_change,trained_certified_seed,adopted_certified_seed,trained_improved_varieties,adopted_improved_varieties,trained_pest_management,adopted_pest_management,trained_agronomic_practices,adopted_agronomic_practices,trained_soil_fertility,adopted_soil_fertility,trained_soil_moisture,adopted_soil_moisture,trained_post_harvest,adopted_post_harvest,trained_value_addition,adopted_value_addition,enterprise_profitability_increase,farm_productivity_increase,timely_implementation,new_income_streams,job_creation_increase,project_inclusivity
Tulimani,Male,64,Secondary,30000,3,Yes,Tomato,40,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,1,2,1,800,2000,1200,10,30,20,8000,60000,52000,2,5,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,4,5,5,5
Tulimani,Male,67,Secondary,20000,4,Yes,Tomato,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,1,1,0,160,250,90,40,50,10,30000,7000,-23000,3,2,-1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
Tulimani,Female,33,Primary,5000,3,No,Tomato,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,1,2,1,30,80,50,10,25,15,300,1740,1440,1,2,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
Tulimani,Female,73,Primary,800,6,No,Tomato,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,1,2,1,20,80,60,10,25,15,5000,15000,10000,2,2,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,4,5,5,5
Tulimani,Male,71,Secondary,10000,5,Yes,Tomato,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,0,250,400,150,10,20,10,2500,8000,5500,2,2,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
Tulimani,Female,50,Primary,20000,6,No,Tomato,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,0,400,800,400,20,60,40,8000,48000,40000,3,3,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
Tulimani,Female,50,Secondary,3000,6,Yes,Tomato,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,1,1,0,200,800,600,10,30,20,4000,24000,20000,1,2,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
Tulimani,Female,63,Secondary,1000,1,No,Tomato,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,2,5,1,1,0,36,144,108,20,30,10,720,4320,3600,1,2,1,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,3,5,5,5
Tulimani,Male,70,Primary,500,5,Yes,Tomato,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,0,200,800,600,15,25,10,6000,40000,34000,1,2,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
Tulimani,Male,54,Primary,7000,6,Yes,Tomato,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,1,1,0,120,320,200,30,50,20,7200,14000,6800,1,2,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
